2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 2 to the Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 2
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.461 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [*SEAL::Client::left_rotate@395] Doing left rotating
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 2 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 2
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 2 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 2
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 4 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::insert@299] Inserting 7
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 4 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 4
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 5 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 5
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@165] Insert a new node 7 into cache
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 6 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 5 to the Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@137] Found node in cache: 5
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 5 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 5
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [*SEAL::Client::left_rotate@395] Doing left rotating
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 5 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 5
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@111] Read node 6 from Oblivious Data Structure
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@116] Found node in cache: 6
2021-08-16 11:49:15.462 INFO  [12530625] [SEAL::Client::ODS_access@131] Write node 5 to the Oblivious Data Structure
